Client Name,ProgramID,Program Name,Program Status,,is Anonymous Match,Program Created At,# Notes by programs,# Users by Program,# Users who requested match by program,# Users who were requested,# Requests by program,# Partnerships Complete,# Partnerships In Progress,# Partnerships Not Started,# Partnerships by Status,# Notes Completed by Program
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,,11,4,3,5,,,,,
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,,243,122,93,312,,,,,
Teva,4,Teva Global Finance Mentoring Program,ACTIVE,No,0,2021-10-18 10:36:34,,6,0,0,0,,,,,
Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,,,,,,0,19,0,19,
Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,,,,,,0,0,106,106,
Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,,,,,,4,0,0,4,
Teva,6,Emerging Sales Manager Program,ACTIVE,No,0,2022-06-29 22:42:56,,,,,,0,1,0,1,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,,,,,,6,0,0,6,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,,,,,,0,0,9,9,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,,,,,,0,13,0,13,
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,,,,,,7,0,0,7,
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,,,,,,0,2,0,2,
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,,,,,,0,0,3,3,
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,,,,,,0,0,64,64,
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,,,,,,0,79,0,79,
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,,,,,,1,0,0,1,
Teva,4,Teva Global Finance Mentoring Program,ACTIVE,No,0,2021-10-18 10:36:34,,,,,,0,1,0,1,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,,,,,,,,,,2
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,,,,,,,,,,1
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,,,,,,,,,,32
UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,64,,,,,,,,,
UPS,6,Trinity Onboarding Sample Program,ACTIVE,No,0,2022-10-19 15:34:31,0,,,,,,,,,
UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,,44,0,0,0,,,,,
UPS,5,Sales Onboarding Program,ACTIVE,No,0,2022-08-12 17:16:46,,6,0,0,0,,,,,
UPS,3,The Talent Development Mentoring Circle,ACTIVE,No,0,2022-02-14 17:10:11,,77,0,0,0,,,,,
UPS,6,Trinity Onboarding Sample Program,ACTIVE,No,0,2022-10-19 15:34:31,,2,0,0,0,,,,,
UPS,2,UPS Voluntary Demo Program,ACTIVE,No,0,2022-02-14 13:36:53,,5,0,0,0,,,,,
UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,,,,,,0,0,4,4,
UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,,,,,,0,14,0,14,
UPS,6,Trinity Onboarding Sample Program,ACTIVE,No,0,2022-10-19 15:34:31,,,,,,0,0,1,1,
UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,,,,,,,,,,35
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,49,,,,,,,,,
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,,22,0,0,0,,,,,
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,,,,,,1,0,0,1,
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,,,,,,0,6,0,6,
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,,,,,,0,0,4,4,
WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,,,,,,,,,,26
NextGen Cyber Talent,1,NextGen 1:1 Mentoring Program,ACTIVE,No,0,2021-08-20 23:45:21,4,,,,,,,,,
NextGen Cyber Talent,1,NextGen 1:1 Mentoring Program,ACTIVE,No,0,2021-08-20 23:45:21,,25,0,0,0,,,,,
NextGen Cyber Talent,1,NextGen 1:1 Mentoring Program,ACTIVE,No,0,2021-08-20 23:45:21,,,,,,0,2,0,2,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,116,,,,,,,,,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,201,0,0,0,,,,,
The Alliance,4,Situational Mentorship,ACTIVE,No,0,2021-12-30 18:49:04,,71,2,2,2,,,,,
The Alliance,5,The Alliance Group Mentorship,ACTIVE,No,0,2022-03-04 20:39:14,,1,0,0,0,,,,,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,0,0,90,90,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,8,0,0,8,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,0,34,0,34,
The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,,,,,47
Hearst Newspapers,7,Hearst Fellowship 2022-2023,ACTIVE,No,0,2022-08-15 15:06:22,0,,,,,,,,,
Hearst Newspapers,4,Newspapers' Reach | Mentor Program (Jan 2022),ACTIVE,No,0,2021-12-16 16:10:10,80,,,,,,,,,
Hearst Newspapers,5,Newspapers' Reach | Mentor Program (July 2022),ACTIVE,No,0,2022-04-21 20:03:27,146,,,,,,,,,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,328,,,,,,,,,
Hearst Newspapers,7,Hearst Fellowship 2022-2023,ACTIVE,No,0,2022-08-15 15:06:22,,29,0,0,0,,,,,
Hearst Newspapers,2,Hearst Newspapers,ACTIVE,No,0,2021-09-23 14:29:55,,4,0,0,0,,,,,
Hearst Newspapers,4,Newspapers' Reach | Mentor Program (Jan 2022),ACTIVE,No,0,2021-12-16 16:10:10,,56,24,25,51,,,,,
Hearst Newspapers,5,Newspapers' Reach | Mentor Program (July 2022),ACTIVE,No,0,2022-04-21 20:03:27,,73,28,29,66,,,,,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,,107,41,37,90,,,,,
Hearst Newspapers,1,Test Environment,ACTIVE,No,0,2020-11-16 22:47:24,,3,0,0,0,,,,,
Hearst Newspapers,7,Hearst Fellowship 2022-2023,ACTIVE,No,0,2022-08-15 15:06:22,,,,,,0,0,13,13,
Hearst Newspapers,4,Newspapers' Reach | Mentor Program (Jan 2022),ACTIVE,No,0,2021-12-16 16:10:10,,,,,,0,13,0,13,
Hearst Newspapers,4,Newspapers' Reach | Mentor Program (Jan 2022),ACTIVE,No,0,2021-12-16 16:10:10,,,,,,0,0,8,8,
Hearst Newspapers,5,Newspapers' Reach | Mentor Program (July 2022),ACTIVE,No,0,2022-04-21 20:03:27,,,,,,0,0,20,20,
Hearst Newspapers,5,Newspapers' Reach | Mentor Program (July 2022),ACTIVE,No,0,2022-04-21 20:03:27,,,,,,0,14,0,14,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,,,,,,1,0,0,1,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,,,,,,0,0,16,16,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,,,,,,0,18,0,18,
Hearst Newspapers,3,Newspapers’ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,,,,,,,,,,1
Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,8,,,,,,,,,
Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,,33,0,0,0,,,,,
Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,,,,,,0,0,11,11,
Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,,,,,,2,0,0,2,
Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,,,,,,0,3,0,3,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,34,,,,,,,,,
UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,139,,,,,,,,,
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,191,,,,,,,,,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,,54,0,0,0,,,,,
UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,,59,0,0,0,,,,,
UCB,6,UCBee Enrichment Partner Program,ACTIVE,No,0,2022-01-26 15:46:08,,57,3,3,4,,,,,
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,,109,0,0,0,,,,,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,,,,,,0,0,13,13,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,,,,,,0,12,0,12,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,,,,,,2,0,0,2,
UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,,,,,,0,23,0,23,
UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,,,,,,0,0,3,3,
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,,,,,,3,0,0,3,
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,,,,,,0,38,0,38,
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,,,,,,0,0,15,15,
UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,,,,,,,,,,7
UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,,,,,,,,,,52
UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,,,,,,,,,,76
AHEC 4,2,RSHS Mentorship Program 2022-2023,ACTIVE,No,0,2021-09-28 19:16:29,,4,0,0,0,,,,,
Astellas Pharma US,2,1:1 Mentoring Program,ACTIVE,No,0,2022-04-20 17:45:30,,4,0,0,0,,,,,
Astellas Pharma US,1,The FLA Training Program,ACTIVE,No,0,2021-04-26 19:14:08,,24,0,0,0,,,,,
Toyota Quality,1,Inspiring Growth and Development,ACTIVE,No,0,2021-03-31 20:07:21,0,,,,,,,,,
Toyota Quality,1,Inspiring Growth and Development,ACTIVE,No,0,2021-03-31 20:07:21,,4,1,1,1,,,,,
Toyota Quality,1,Inspiring Growth and Development,ACTIVE,No,0,2021-03-31 20:07:21,,,,,,0,0,1,1,
Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,46,,,,,,,,,
Women in Automotive,5,WomenPowered Circle Mentoring,ACTIVE,No,0,2022-03-24 20:42:51,,3,0,0,0,,,,,
Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,,47,6,4,8,,,,,
Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,,,,,,0,3,0,3,
Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,,,,,,0,0,3,3,
Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,,,,,,,,,,26
Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,638,,,,,,,,,
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,69,,,,,,,,,
Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,,153,0,0,0,,,,,
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,,54,0,0,0,,,,,
Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,0,63,0,63,
Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,0,0,20,20,
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,,,,,,1,0,0,1,
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,,,,,,0,0,15,15,
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,,,,,,0,21,0,21,
Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,,,,,,,,,,290
Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,,,,,,,,,,34
Merck,6,1:1 INSPIRE Mentoring (Demo),ACTIVE,No,0,2022-05-12 21:24:42,2,,,,,,,,,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,217,,,,,,,,,
Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,3,,,,,,,,,
Merck,6,1:1 INSPIRE Mentoring (Demo),ACTIVE,No,0,2022-05-12 21:24:42,,2,0,0,0,,,,,
Merck,5,Demo Mentor Program (Voluntary Matching),ACTIVE,No,0,2022-01-25 21:42:35,,5,0,0,0,,,,,
Merck,3,Merck LEAD Mentoring Phase 1 - Foundation Building,ACTIVE,No,0,2021-11-03 17:38:52,,67,0,0,0,,,,,
Merck,4,Merck LEAD Mentoring Phase 2 - Skill Building,ACTIVE,No,0,2021-11-03 17:39:56,,63,0,0,0,,,,,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,,105,0,0,0,,,,,
Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,,34,0,0,0,,,,,
Merck,6,1:1 INSPIRE Mentoring (Demo),ACTIVE,No,0,2022-05-12 21:24:42,,,,,,0,1,0,1,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,,,,,,0,40,0,40,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,,,,,,0,0,15,15,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,,,,,,1,0,0,1,
Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,,,,,,0,3,0,3,
Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,,,,,,0,0,14,14,
Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,,,,,,,,,,67
Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,,,,,,,,,,1
LEO Pharma,1,LEO ONE Mentoring Program,ACTIVE,No,0,2021-10-19 19:06:52,2,,,,,,,,,
LEO Pharma,1,LEO ONE Mentoring Program,ACTIVE,No,0,2021-10-19 19:06:52,,392,1,1,1,,,,,
LEO Pharma,3,LEO Pharma - 002,INACTIVE,No,0,2021-12-07 22:04:54,,2,0,0,0,,,,,
LEO Pharma,1,LEO ONE Mentoring Program,ACTIVE,No,0,2021-10-19 19:06:52,,,,,,0,1,0,1,
National Church Residences,2,A.I.M. Mentoring Program,ACTIVE,No,0,2022-03-14 15:54:59,33,,,,,,,,,
National Church Residences,2,A.I.M. Mentoring Program,ACTIVE,No,0,2022-03-14 15:54:59,,4,0,0,0,,,,,
National Church Residences,1,National Church Residences Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,,3,0,0,0,,,,,
National Church Residences,3,Pilot Demo for Education Team,ACTIVE,No,0,2022-03-14 15:56:53,,14,1,1,1,,,,,
National Church Residences,2,A.I.M. Mentoring Program,ACTIVE,No,0,2022-03-14 15:54:59,,,,,,0,2,0,2,
National Church Residences,2,A.I.M. Mentoring Program,ACTIVE,No,0,2022-03-14 15:54:59,,,,,,,,,,4
Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,204,,,,,,,,,
Mid Penn Bank,8,Financial Center Performance Meetings,ACTIVE,No,0,2022-07-19 17:36:25,9,,,,,,,,,
Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,14,,,,,,,,,
Mid Penn Bank,5,Summer Intern Mentorship Program 2022,ACTIVE,No,0,2022-05-06 13:58:06,56,,,,,,,,,
Mid Penn Bank,1,Test Career Mentor Program,ACTIVE,No,0,2022-03-17 22:50:53,84,,,,,,,,,
Mid Penn Bank,2,Test Emerging Leaders,ACTIVE,No,0,2022-03-21 19:16:24,2,,,,,,,,,
Mid Penn Bank,6,Test Monthly 1 on 1 meetings,ACTIVE,No,0,2022-05-23 18:25:39,32,,,,,,,,,
Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,,51,0,0,0,,,,,
Mid Penn Bank,4,Emerging Leaders 2022 Cohort 2,ACTIVE,No,0,2022-04-11 14:26:30,,16,0,0,0,,,,,
Mid Penn Bank,8,Financial Center Performance Meetings,ACTIVE,No,0,2022-07-19 17:36:25,,199,0,0,0,,,,,
Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,,33,0,0,0,,,,,
Mid Penn Bank,5,Summer Intern Mentorship Program 2022,ACTIVE,No,0,2022-05-06 13:58:06,,49,0,0,0,,,,,
Mid Penn Bank,1,Test Career Mentor Program,ACTIVE,No,0,2022-03-17 22:50:53,,8,0,0,0,,,,,
Mid Penn Bank,2,Test Emerging Leaders,ACTIVE,No,0,2022-03-21 19:16:24,,7,0,0,0,,,,,
Mid Penn Bank,7,Test Free for All,ENROLL,No,0,2022-05-27 18:25:01,,8,0,0,0,,,,,
Mid Penn Bank,6,Test Monthly 1 on 1 meetings,ACTIVE,No,0,2022-05-23 18:25:39,,10,0,0,0,,,,,
Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,,,,,,0,22,0,22,
Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,,,,,,0,0,3,3,
Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,,,,,,1,0,0,1,
Mid Penn Bank,8,Financial Center Performance Meetings,ACTIVE,No,0,2022-07-19 17:36:25,,,,,,0,0,159,159,
Mid Penn Bank,8,Financial Center Performance Meetings,ACTIVE,No,0,2022-07-19 17:36:25,,,,,,0,3,0,3,
Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,,,,,,0,0,18,18,
Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,,,,,,0,13,0,13,
Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,,,,,,1,0,0,1,
Mid Penn Bank,5,Summer Intern Mentorship Program 2022,ACTIVE,No,0,2022-05-06 13:58:06,,,,,,34,0,0,34,
Mid Penn Bank,1,Test Career Mentor Program,ACTIVE,No,0,2022-03-17 22:50:53,,,,,,2,0,0,2,
